data;country;total infected;infected per day;total deaths;deaths per day;where
01.12.2019;Китай;82930;55;3338;3;Местная
14.01.2020;Япония;3497;368;84;7;Местная
19.01.2020;Республика Корея;10237;81;183;6;Местная
23.01.2020;Вьетнам;240;1;0;0;Местная
24.01.2020;Сингапур;1189;75;6;1;Местная
25.01.2020;Австралия;5550;220;30;2;Местная
25.01.2020;Малайзия;3483;150;57;4;Местная
27.01.2020;Камбоджа;114;0;0;0;Местная
30.01.2020;Филиппины;3094;76;144;8;Местная
28.02.2020;Новая Зеландия;1039;89;1;0;Местная
09.03.2020;Монголия;14;0;0;0;Завоз
10.03.2020;Бруней;135;1;2;0;Местная
19.03.2020;Фиджи;12;5;0;0;Местная
21.03.2020;Папуа-Новая Гвинея;1;0;0;0;Завоз
24.03.2020;Лаос;10;0;0;0;Завоз
12.01.2020;Таиланд;2067;89;20;1;Местная
24.01.2020;Непал;9;3;0;0;Завоз
27.01.2020;Шри-Ланка;166;7;5;1;Местная
30.01.2020;Индия;3076;486;77;6;Местная
02.03.2020;Индонезия;2092;106;191;10;Местная
06.03.2020;Бутан;5;0;0;0;Завоз
07.03.2020;Мальдивы;19;0;0;0;Местная
08.03.2020;Бангладеш;70;9;8;2;Местная
21.03.2020;Восточный Тимор;1;0;0;0;Завоз
23.03.2020;Мьянма;21;1;1;0;Завоз
25.01.2020;Франция;89953;24751;7560;1053;Местная
28.01.2020;Германия;96374;5171;1446;140;Местная
29.01.2020;Финляндия;1882;267;20;1;Местная
30.01.2020;Италия;124632;4805;15362;681;Местная
31.01.2020;Великобритания;41903;3213;4313;708;Местная
31.01.2020;Испания;126168;6969;11947;749;Местная
31.01.2020;Россия;4731;582;43;9;"Завоз; Местная"
31.01.2020;Швеция;6443;312;373;40;Местная
04.02.2020;Бельгия;18431;1661;1283;140;Местная
21.02.2020;Израиль;7589;161;43;3;Местная
25.02.2020;Австрия;11589;65;186;18;Местная
25.02.2020;Хорватия;1126;47;12;4;Местная
25.02.2020;Швейцария;19943;241;632;28;Местная
26.02.2020;Северная Македония;483;53;17;5;Местная
26.02.2020;Грузия;162;7;1;1;Местная
26.02.2020;Норвегия;5519;148;62;3;Местная
26.02.2020;Греция;1673;60;68;9;Местная
26.02.2020;Румыния;3613;430;146;13;Местная
27.02.2020;Дания;4258;312;161;22;Местная
27.02.2020;Эстония;1018;57;13;2;Местная
27.02.2020;Нидерланды;16627;806;1651;164;Местная
27.02.2020;Сан-Марино;259;8;32;0;Местная
28.02.2020;Литва;771;75;11;3;Местная
28.02.2020;Беларусь;440;89;5;1;Местная
28.02.2020;Азербайджан;521;78;5;0;Местная
28.02.2020;Монако;66;2;1;0;Местная
28.02.2020;Исландия;1417;53;4;2;Местная
29.02.2020;Люксембург;2729;117;31;0;Местная
29.02.2020;Ирландия;4604;331;137;17;Местная
01.03.2020;Армения;770;34;7;0;Местная
01.03.2020;Чехия;4362;172;59;6;Местная
02.03.2020;Андорра;466;27;17;1;Местная
02.03.2020;Португалия;10524;638;266;57;Местная
02.03.2020;Латвия;509;16;1;0;Местная
03.03.2020;Украина;1096;24;28;1;Местная
03.03.2020;Лихтенштейн;77;2;0;0;Завоз
04.03.2020;Венгрия;678;55;32;11;Местная
04.03.2020;Польша;3627;244;79;8;Местная
04.03.2020;Словения;977;43;22;2;Местная
05.03.2020;Босния и Герцеговина;617;38;21;4;Местная
06.03.2020;Ватикан;7;0;0;0;Завоз
06.03.2020;Сербия;1624;148;44;5;Местная
06.03.2020;Словакия;471;21;1;0;Местная
07.03.2020;Мальта;213;11;0;0;Местная
07.03.2020;Болгария;503;18;17;3;Местная
07.03.2020;Молдавия;752;161;12;4;Местная
08.03.2020;Албания;333;29;18;2;Местная
10.03.2020;Турция;23934;3013;501;76;Местная
10.03.2020;Кипр;426;30;13;0;Местная
13.03.2020;Казахстан;525;61;5;2;Завоз
15.03.2020;Узбекистан;263;36;2;0;Местная
17.03.2020;Черногория;201;27;2;0;Местная
18.03.2020;Киргизия;144;14;1;0;Местная
21.01.2020;США;308546;30718;8741;1406;Местная
26.01.2020;Канада;13849;1304;231;48;Местная
26.02.2020;Бразилия;10278;1084;431;72;Местная
28.02.2020;Мексика;1890;202;79;19;Местная
29.02.2020;Эквадор;3465;97;172;27;Местная
01.03.2020;Доминиканская Республика;1578;90;77;9;Местная
03.03.2020;Аргентина;1451;98;43;1;Местная
03.03.2020;Чили;4161;424;27;5;Местная
